m,C,m,C,m/s
Room_z,TC_RoomS,Door_z,TC_Door,BP_Door
 2.000E-02, 2.342E+01, 2.000E-02, 2.365E+01, 1.453E-01
 6.860E-02, 2.342E+01, 6.865E-02, 2.365E+01, 1.453E-01
 1.172E-01, 2.279E+01, 1.173E-01, 2.324E+01, 1.579E-01
 1.658E-01, 2.279E+01, 1.659E-01, 2.324E+01, 1.579E-01
 2.144E-01, 2.316E+01, 2.146E-01, 2.305E+01, 1.652E-01
 2.630E-01, 2.316E+01, 2.632E-01, 2.305E+01, 1.652E-01
 3.116E-01, 2.417E+01, 3.119E-01, 2.307E+01, 1.711E-01
 3.602E-01, 2.417E+01, 3.605E-01, 2.307E+01, 1.711E-01
 4.088E-01, 2.458E+01, 4.092E-01, 2.303E+01, 1.831E-01
 4.574E-01, 2.458E+01, 4.578E-01, 2.303E+01, 1.831E-01
 5.060E-01, 2.496E+01, 5.065E-01, 2.298E+01, 1.914E-01
 5.547E-01, 2.496E+01, 5.551E-01, 2.298E+01, 1.914E-01
 6.033E-01, 2.576E+01, 6.038E-01, 2.291E+01, 2.018E-01
 6.519E-01, 2.576E+01, 6.524E-01, 2.291E+01, 2.018E-01
 7.005E-01, 2.614E+01, 7.011E-01, 2.306E+01, 2.071E-01
 7.491E-01, 2.614E+01, 7.497E-01, 2.306E+01, 2.071E-01
 7.977E-01, 2.598E+01, 7.984E-01, 2.406E+01, 2.077E-01
 8.463E-01, 2.598E+01, 8.470E-01, 2.406E+01, 2.077E-01
 8.949E-01, 2.566E+01, 8.957E-01, 2.666E+01, 2.277E-01
 9.435E-01, 2.566E+01, 9.443E-01, 2.666E+01, 2.277E-01
 9.921E-01, 2.578E+01, 9.930E-01, 2.921E+01, 2.501E-01
 1.041E+00, 2.578E+01, 1.042E+00, 2.921E+01, 2.501E-01
 1.089E+00, 2.886E+01, 1.090E+00, 3.288E+01, 2.688E-01
 1.138E+00, 2.886E+01, 1.139E+00, 3.288E+01, 2.688E-01
 1.187E+00, 3.746E+01, 1.188E+00, 3.485E+01, 3.636E-01
 1.235E+00, 3.746E+01, 1.236E+00, 3.485E+01, 3.636E-01
 1.284E+00, 4.427E+01, 1.285E+00, 3.855E+01, 4.220E-01
 1.332E+00, 4.427E+01, 1.334E+00, 3.855E+01, 4.220E-01
 1.381E+00, 4.679E+01, 1.382E+00, 4.166E+01, 5.910E-01
 1.430E+00, 4.679E+01, 1.431E+00, 4.166E+01, 5.910E-01
 1.478E+00, 4.771E+01, 1.479E+00, 4.517E+01, 7.706E-01
 1.527E+00, 4.771E+01, 1.528E+00, 4.517E+01, 7.706E-01
 1.575E+00, 4.913E+01, 1.577E+00, 4.806E+01, 8.867E-01
 1.624E+00, 4.913E+01, 1.625E+00, 4.806E+01, 8.867E-01
 1.673E+00, 4.956E+01, 1.674E+00, 4.979E+01, 7.931E-01
 1.721E+00, 4.956E+01, 1.723E+00, 4.979E+01, 7.931E-01
 1.770E+00, 5.106E+01, 1.771E+00, 5.067E+01, 3.417E-01
 1.818E+00, 5.106E+01, 1.820E+00, 5.067E+01, 3.417E-01
 1.867E+00, 5.450E+01,NaN,NaN,NaN
 1.916E+00, 5.450E+01,NaN,NaN,NaN
 1.964E+00, 5.921E+01,NaN,NaN,NaN
 2.013E+00, 5.921E+01,NaN,NaN,NaN
 2.061E+00, 6.455E+01,NaN,NaN,NaN
 2.110E+00, 6.455E+01,NaN,NaN,NaN
